avg_price,created_at,fees,qty,side,simple_name,symbol,type
32.32,"13th Jul 2018, 9:30:56 am",0,1,buy,L Brands,LB,market
15.89,"16th Jul 2018, 11:34:34 am",0,20,buy,Funko,FNKO,market
347,"17th Jul 2018, 9:30:01 am",0,1,buy,Netflix,NFLX,market
36.28,"17th Jul 2018, 10:34:52 am",0,2,buy,iQIYI,IQ,market
360.66,"18th Jul 2018, 11:19:42 am",0,1,buy,Boeing,BA,market
379.3,"18th Jul 2018, 11:20:32 am",0,1,buy,Netflix,NFLX,market
37.19,"19th Jul 2018, 9:30:00 am",0,1,buy,JD.com,JD,market
208.85,"20th Jul 2018, 9:30:00 am",0.02,1,sell,Facebook,FB,market
277,"20th Jul 2018, 9:30:01 am",0.02,1,sell,Arista,ANET,market
175.33,"26th Jul 2018, 9:30:05 am",0,2,buy,Facebook,FB,market
26.16,"26th Jul 2018, 12:11:42 pm",0.02,4,sell,Cato,CATO,market
193.67,"26th Jul 2018, 1:12:32 pm",0,1,buy,Spotify,SPOT,market
72.69,"31st Jul 2018, 11:27:00 am",0,3,buy,Atlassian,TEAM,market
31.8457,"31st Jul 2018, 11:28:19 am",0,7,buy,Twitter,TWTR,market
19.58,"9th Aug 2018, 12:46:52 pm",0.02,5,sell,Funko,FNKO,market
35.97,"10th Aug 2018, 4:39:18 pm",0,1,buy,JD.com,JD,market
32.38,"10th Aug 2018, 4:39:39 pm",0,2,buy,HUYA,HUYA,market
3.82,"11th Aug 2018, 3:38:26 am",0,1,buy,Zynga,ZNGA,referral
4.06,"22nd Aug 2018, 9:50:55 am",0,1,buy,Zynga,ZNGA,referral
22.78,"23rd Aug 2018, 11:41:15 am",0.02,3,sell,Funko,FNKO,market
112.67,"29th Aug 2018, 12:41:51 pm",0.02,2,sell,Disney,DIS,market
31.58,"29th Aug 2018, 12:42:12 pm",0.02,3,sell,Chegg,CHGG,market
28.8,"29th Aug 2018, 12:43:08 pm",0.02,3,sell,HUYA,HUYA,market
32.1,"29th Aug 2018, 12:43:23 pm",0.02,2,sell,JD.com,JD,market
57.55,"29th Aug 2018, 12:43:40 pm",0.02,2,sell,Baozun,BZUN,market
46.12,"29th Aug 2018, 1:26:04 pm",0,6,buy,Tencent,TCEHY,market
6.958,"29th Aug 2018, 1:28:00 pm",0,10,buy,Aurora Cannabis,ACB,market
32.93,"29th Aug 2018, 1:28:34 pm",0,9,buy,BMW,BMWYY,market
96.58,"5th Sep 2018, 9:30:00 am",0.02,1,sell,Nasdaq,NDAQ,market
55.56,"5th Sep 2018, 9:30:39 am",0.02,1,sell,Canopy Growth,CGC,market
28.11,"10th Sep 2018, 9:30:04 am",0,6,buy,AMD,AMD,market
15.54,"14th Sep 2018, 5:55:03 pm",0,30,buy,Cypress Semiconductor,CY,market
5.59,"23rd Sep 2018, 2:44:27 am",0,1,buy,Denbury,DNRCQ,referral
6.14,"27th Sep 2018, 4:37:04 pm",0.02,1,sell,Denbury,DNRCQ,market
138.26,"1st Oct 2018, 9:30:00 am",0,1,buy,Johnson & Johnson,JNJ,market
33.66,"1st Oct 2018, 9:30:05 am",0,3,buy,AT&T,T,market
33.66,"1st Oct 2018, 9:30:05 am",0,8,buy,AT&T,T,market
248.06,"25th Oct 2018, 3:56:20 pm",0,4,buy,Vanguard S&P 500 ETF,VOO,market
143.6,"3rd Dec 2018, 9:30:00 am",0,8,buy,Vanguard Total Stock Market ETF,VTI,market
257.62,"3rd Dec 2018, 9:30:01 am",0,4,buy,Vanguard S&P 500 ETF,VOO,market
127.17,"21st Dec 2018, 10:48:42 am",0,2,buy,Vanguard Total Stock Market ETF,VTI,market
12.57,"25th Jan 2019, 9:31:27 am",0,14,buy,PG&E,PCG,limit
13.88,"28th Jan 2019, 1:24:02 pm",0.02,15,sell,Cypress Semiconductor,CY,market
13.89,"28th Jan 2019, 1:24:33 pm",0.02,5,sell,Cypress Semiconductor,CY,market
13.89,"28th Jan 2019, 1:24:41 pm",0.02,10,sell,Cypress Semiconductor,CY,market
4.39,"28th Jan 2019, 1:25:16 pm",0.02,2,sell,Zynga,ZNGA,market
34.02,"28th Jan 2019, 1:25:40 pm",0.02,2,sell,Baozun,BZUN,market
19.392,"28th Jan 2019, 1:25:59 pm",0.02,5,sell,iQIYI,IQ,market
332.09,"28th Jan 2019, 1:26:37 pm",0.02,1,sell,Netflix,NFLX,market
23.92,"28th Jan 2019, 1:27:01 pm",0.02,1,sell,JD.com,JD,market
21.065,"28th Jan 2019, 1:27:12 pm",0.02,2,sell,HUYA,HUYA,market
17.2333,"28th Jan 2019, 1:28:09 pm",0.02,6,sell,Funko,FNKO,market
28.24,"28th Jan 2019, 1:29:43 pm",0.02,1,sell,BMW,BMWYY,market
19.38,"28th Jan 2019, 1:31:29 pm",0.02,2,sell,iQIYI,IQ,market
1084.27,"28th Jan 2019, 1:31:45 pm",0,1,buy,Alphabet Class A,GOOGL,market
104.04,"6th Feb 2019, 1:27:08 pm",0.02,2,sell,Atlassian,TEAM,market
18.23,"19th Feb 2019, 3:26:48 pm",0.02,14,sell,PG&E,PCG,market
39,"22nd Apr 2019, 9:32:45 am",0,3,buy,PagerDuty,PD,limit
45,"2nd May 2019, 9:54:35 am",0,10,buy,PagerDuty,PD,limit
38.9,"13th May 2019, 9:30:07 am",0,10,buy,Uber,UBER,market
186.35,"17th May 2019, 11:55:34 am",0.02,2,sell,Facebook,FB,market
21.6583,"17th May 2019, 11:55:51 am",0.02,6,sell,Funko,FNKO,market
24.62,"17th May 2019, 11:58:58 am",0.02,4,sell,BMW,BMWYY,market
23.61,"22nd May 2019, 4:32:09 pm",0.02,1,sell,L Brands,LB,market
23.83,"22nd May 2019, 4:32:51 pm",0,20,buy,L Brands,LB,market
355.16,"24th May 2019, 12:12:36 pm",0,1,buy,Boeing,BA,market
355.5,"24th May 2019, 12:13:12 pm",0,1,buy,Boeing,BA,market
171.67,"24th May 2019, 12:14:43 pm",0,4,buy,Vertex Pharmaceuticals,VRTX,market
49.67,"24th May 2019, 12:16:41 pm",0,10,buy,Coca-Cola,KO,market
106.74,"24th May 2019, 12:16:56 pm",0,4,buy,Procter & Gamble,PG,market
125.29,"30th May 2019, 12:00:21 pm",0,3,buy,Microsoft,MSFT,market
49.81,"6th Aug 2019, 12:01:21 pm",0,20,buy,Vanguard Total International Stock ETF,VXUS,market
35.74,"15th Aug 2019, 11:56:40 am",0,20,buy,HSBC,HSBC,market
35.74,"15th Aug 2019, 11:57:20 am",0,30,buy,HSBC,HSBC,market
158.28,"28th Aug 2019, 9:30:01 am",0,2,buy,Beyond Meat,BYND,market
101.82,"25th Sep 2019, 9:30:01 am",0,25,buy,Nasdaq,NDAQ,market
30.57,"24th Oct 2019, 3:48:16 pm",0,15,buy,Twitter,TWTR,market
1804.05,"5th Nov 2019, 12:33:38 pm",0,1,buy,Amazon,AMZN,market
158.465,"20th Nov 2019, 12:51:16 pm",0,14,buy,Vanguard Total Stock Market ETF,VTI,market
25.87,"27th Nov 2019, 12:59:05 pm",0,3,sell,PagerDuty,PD,market
32.7117,"27th Nov 2019, 12:59:48 pm",0,6,sell,JD.com,JD,market
160.4483,"27th Nov 2019, 1:00:40 pm",0,6,buy,Vanguard Total Stock Market ETF,VTI,market
